SKU_Coded,Avg_Unit_Price
0,6204850,157.277380
1,6204800,113.540083
2,6185100,99.581942
3,6195750,89.802498
4,6184900,89.520059
5,6202800,79.956940
6,6202350,79.722675
7,6197600,79.694764
8,6202500,79.565386
9,6186250,69.538113
10,6198500,69.490052
11,6203450,69.013592
12,6195250,59.980434
13,6185150,59.840256
14,6196350,59.461474
15,6202900,59.001826
16,6176200,55.358832
17,6176250,55.229817
18,6192500,54.827307
19,6196200,51.566899
20,6204400,49.990002
21,6179600,49.796292
22,6190450,49.477726
23,6200000,49.450724
24,6198550,49.389405
25,6199050,49.385547
26,6190500,49.385181
27,6199300,47.199452
28,6196550,47.146715
29,6199150,46.418691
30,6199250,45.527935
31,6193200,45.135204
32,6191400,44.776472
33,6199100,44.757239
34,6203200,44.683160
35,6200550,44.316883
36,6193400,42.555240
37,6199200,41.164438
38,6179650,40.982328
39,6172950,39.990002
40,6202750,39.962351
41,6204000,39.938455
42,6188050,39.874446
43,6203100,39.847293
44,6200850,39.804544
45,6195850,39.800279
46,6197500,39.677032
47,6198050,39.622585
48,6198100,39.521079
49,6191600,38.855458
50,6196150,38.283716
51,6199450,37.584463
52,6196100,36.060001
53,6197050,35.085815
54,6202400,34.847109
55,6197950,34.834283
56,6202450,34.794411
57,6201200,34.744897
58,6201300,34.669618
59,6198000,34.617323
60,6202550,34.533010
61,6191450,34.215368
62,6186800,33.939079
63,6195600,33.075321
64,6186900,31.990203
65,6177150,29.958912
66,6188350,29.952961
67,6204350,29.928931
68,6180300,29.916932
69,6197900,29.910816
70,6187700,29.900000
71,6188750,29.900000
72,6197850,29.888478
73,6188650,29.839428
74,6195700,29.834436
75,6179700,29.764844
76,6197000,29.751000
77,6188700,29.744830
78,6203350,29.687586
79,6182500,29.447080
80,6204200,27.711871
81,6196500,25.808889
82,6200400,25.502503
83,6200350,25.418413
84,6188100,25.354959
85,6200300,25.119497
86,6189800,24.990000
87,6200900,24.958497
88,6197750,24.949292
89,6197800,24.944302
90,6196850,24.917083
91,6204150,24.912177
92,6191050,24.895513
93,6203050,24.827325
94,6173650,24.824888
95,6201900,24.820299
96,6176750,24.813791
97,6195550,24.801562
98,6173600,24.785733
99,6201250,24.735476
100,6197550,24.724641
101,6197300,24.673656
102,6195500,24.638009
103,6205000,24.497500
104,6196700,22.800120
105,6196750,22.552860
106,6199400,22.540135
107,6191250,22.030625
108,6197650,21.966057
109,6197700,21.959591
110,6205150,21.819565
111,6205200,21.814860
112,6199350,21.784582
113,6186400,21.743298
114,6203300,21.700714
115,6179900,21.537963
116,6202150,21.436885
117,6187350,21.433333
118,6187000,21.405402
119,6196600,21.336355
120,6196650,20.692783
121,6185050,20.679936
122,6193500,20.603149
123,6193600,20.512057
124,6202100,20.408400
125,6204450,20.217004
126,6186850,19.992556
127,6198300,19.990000
128,6201000,19.990000
129,6201050,19.990000
130,6202600,19.990000
131,6202850,19.957865
132,6200050,19.951318
133,6180550,19.940000
134,6194250,19.936398
135,6198200,19.931285
136,6198150,19.930548
137,6197200,19.917915
138,6190550,19.913377
139,6191700,19.904085
140,6184100,19.902568
141,6193250,19.900000
142,6196300,19.895550
143,6186000,19.893586
144,6183650,19.887520
145,6187600,19.883012
146,6180600,19.881475
147,6201350,19.872974
148,6196950,19.856223
149,6178250,19.850934
150,6203950,19.834072
151,6203500,19.832022
152,6176850,19.825017
153,6190600,19.807505
154,6176700,19.806656
155,6192000,19.804916
156,6181600,19.790900
157,6173400,19.786527
158,6205100,19.778050
159,6205050,19.743889
160,6172850,19.725504
161,6201950,19.055287
162,6173000,18.990000
163,6187550,18.906693
164,6177550,18.895647
165,6195650,18.593793
166,6172800,18.519527
167,6189000,17.912901
168,6190000,17.891585
169,6191750,17.878680
170,6191300,17.872423
171,6203400,17.766923
172,6202200,17.614538
173,6196450,17.400000
174,6187400,17.289250
175,6185000,17.238106
176,6186300,17.154000
177,6184950,17.103480
178,6173100,16.966230
179,6173550,16.961225
180,6180400,16.953212
181,6180350,16.924977
182,6187100,16.911310
183,6195150,16.882000
184,6195450,16.854579
185,6183600,16.828068
186,6195400,16.784197
187,6195350,16.756308
188,6195000,16.323333
189,6176550,15.954581
190,6189150,15.877812
191,6177600,15.746857
192,6188950,15.538750
193,6199650,15.405829
194,6204950,14.954458
195,6193100,14.944895
196,6176800,14.940346
197,6203800,14.912237
198,6196900,14.901233
199,6173300,14.900000
200,6185300,14.900000
201,6179450,14.892448
202,6203900,14.884385
203,6179250,14.873477
204,6203850,14.873132
205,6186100,14.842921
206,6179400,14.839867
207,6180150,14.396000
208,6203150,14.235989
209,6191000,13.990000
210,6196400,13.920000
211,6195200,13.077813
212,6199550,13.004266
213,6180250,12.990000
214,6180200,12.974847
215,6183750,12.940977
216,6187200,12.932072
217,6203000,12.927831
218,6191900,12.920448
219,6202950,12.886262
220,6183900,12.865951
221,6201650,12.865182
222,6182350,12.829401
223,6204900,12.785135
224,6178850,11.857899
225,6195800,11.847669
226,6178900,11.822087
227,6199600,11.654135
228,6192100,11.031331
229,6201600,10.931961
230,6191800,10.790000
231,6196800,10.767000
232,6191850,10.718908
233,6193550,10.547745
234,6191950,10.310710
235,6197150,10.245141
236,6192150,10.199202
237,6182700,9.990000
238,6183850,9.990000
239,6198250,9.986426
240,6190750,9.983959
241,6177300,9.982747
242,6183250,9.980284
243,6190700,9.980060
244,6183300,9.978902
245,6180700,9.977716
246,6178950,9.976342
247,6181400,9.974850
248,6190900,9.973618
249,6187050,9.972279
250,6193150,9.970442
251,6179050,9.970075
252,6190850,9.968448
253,6195950,9.967557
254,6200650,9.966190
255,6190800,9.962686
256,6187150,9.959116
257,6190950,9.958233
258,6184050,9.952751
259,6179500,9.951720
260,6184000,9.950639
261,6204550,9.949264
262,6203700,9.946919
263,6181550,9.917350
264,6194300,9.914276
265,6179550,9.900000
266,6185700,9.900000
267,6186350,9.900000
268,6188000,9.900000
269,6203750,9.885362
270,6204500,9.858135
271,6204700,9.848223
272,6204650,9.845600
273,6201100,9.830082
274,6200700,9.810286
275,6204600,9.758829
276,6182400,9.524800
277,6180950,9.156642
278,6180850,8.986980
279,6188400,8.978184
280,6200100,8.969986
281,6193850,8.963040
282,6188450,8.960712
283,6189750,8.932966
284,6173250,8.900000
285,6196000,8.900000
286,6173350,8.785145
287,6180900,8.709560
288,6181750,8.697203
289,6199800,8.653397
290,6199850,8.569722
291,6199750,8.536569
292,6177350,8.486403
293,6178050,8.433840
294,6181800,8.380558
295,6200500,8.307259
296,6199500,8.143224
297,6200250,8.060702
298,6200200,8.039533
299,6177400,7.988356
300,6179350,7.983477
301,6176450,7.983347
302,6176500,7.983052
303,6201700,7.973300
304,6195900,7.972916
305,6178200,7.972273
306,6182050,7.969536
307,6182100,7.968423
308,6172900,7.954340
309,6194150,7.953627
310,6194100,7.953613
311,6188550,7.952516
312,6200450,7.948830
313,6194000,7.946761
314,6191100,7.941509
315,6187750,7.929214
316,6198900,7.928689
317,6194200,7.926712
318,6198850,7.906972
319,6198800,7.903414
320,6183400,7.900000
321,6198950,7.891239
322,6192250,7.763693
323,6192200,7.718631
324,6194050,7.608428
325,6193800,7.472633
326,6182600,6.990000
327,6185250,6.990000
328,6198650,6.990000
329,6199700,6.990000
330,6202300,6.990000
331,6192050,6.988471
332,6198700,6.983248
333,6198600,6.981399
334,6198750,6.981347
335,6200150,6.976764
336,6193750,6.971288
337,6185550,6.945965
338,6201150,6.934125
339,6190350,6.919220
340,6183100,5.990000
341,6179800,5.989107
342,6177000,5.983200
343,6201450,5.977464
344,6183950,5.977296
345,6201400,5.975665
346,6202650,5.974556
347,6203600,5.971077
348,6183050,5.970229
349,6202700,5.967644
350,6201500,5.955808
351,6204250,5.938445
352,6178800,5.936804
353,6203250,5.921051
354,6204750,5.900000
355,6203550,5.894827
356,6203650,5.869192
357,6181650,5.828095
358,6179200,5.341841
359,6179150,5.090004
360,6183150,4.986689
361,6177500,4.984122
362,6179300,4.983497
363,6178100,4.981904
364,6180800,4.981456
365,6177450,4.981436
366,6183350,4.979795
367,6182650,4.979795
368,6173050,4.975275
369,6192850,4.971783
370,6181850,4.964073
371,6183500,4.963928
372,6180750,4.951481
373,6193350,4.943492
374,6199000,4.942928
375,6178650,4.933992
376,6198400,4.918095
377,6178600,4.908514
378,6176150,4.900000
379,6176600,4.900000
380,6179000,4.900000
381,6179750,4.900000
382,6181500,4.900000
383,6182450,4.900000
384,6187500,4.900000
385,6181450,4.900000
386,6178550,4.866647
387,6178700,4.840757
388,6178750,4.830379
389,6178500,4.807297
390,6175450,4.770388
391,6177100,4.581212
392,6204300,4.477159
393,6182800,3.990000
394,6200750,3.990000
395,6204100,3.990000
396,6182850,3.989529
397,6180650,3.985376
398,6184700,3.982014
399,6178150,3.977366
400,6193300,3.976222
401,6182750,3.974191
402,6178350,3.971762
403,6192300,3.958676
404,6182950,3.958549
405,6175100,3.957925
406,6178450,3.955187
407,6177200,3.900000
408,6192750,3.900000
409,6194400,3.900000
410,6177250,3.900000
411,6198450,3.758600
412,6198350,3.684762
413,6176950,3.579856
414,6177050,3.487339
415,6176650,3.300000
416,6183000,3.288068
417,6178000,3.183006
418,6177650,3.181189
419,6177900,3.176328
420,6177700,3.175838
421,6177950,3.166731
422,6178400,2.978000
423,6192600,2.968818
424,6178300,2.968121
425,6188300,2.955302
426,6186600,2.900000
427,6192650,2.895569
428,6182900,2.490000
429,6179950,2.485229
430,6192800,2.474373
431,6201850,2.473166
432,6192950,2.463235
433,6200800,2.438520
434,6177850,1.990000
435,6181200,1.990000
436,6177800,1.990000
437,6181700,1.988138
438,6184800,1.987080
439,6184750,1.984962
440,6183800,1.984670
441,6184850,1.981784
442,6193050,1.981638
443,6174400,1.980734
444,6173450,1.974913
445,6173500,1.963684
446,6192550,1.951714
447,6189850,1.900000
448,6188500,1.900000
449,6180100,1.900000
450,6189200,1.900000
451,6189600,1.900000
452,6177750,1.787201
453,6174000,1.690000
454,6184200,1.690000
455,6175500,1.685444
456,6174750,1.466786
457,6188250,1.296522
458,6175200,1.275809
459,6201800,1.271152
460,6174700,1.247730
461,6175250,0.990000
462,6175550,0.990000
463,6199900,0.990000
464,6175300,0.990000
465,6174350,0.990000
466,6176300,0.990000
467,6176400,0.990000
468,6174450,0.988174
469,6174900,0.987500
470,6176350,0.987024
471,6174850,0.985981
472,6174950,0.985153
473,6174800,0.983162
474,6201750,0.980751
475,6174650,0.977909
476,6175000,0.974538
477,6205250,0.960757
478,6175400,0.950000
479,6175350,0.950000
480,6174500,0.950000
481,6174150,0.947921
482,6175800,0.942633
483,6204050,0.932605
484,6180450,0.900000
485,6190400,0.900000
486,6181950,0.900000
487,6181250,0.900000
488,6192700,0.900000
489,6200950,0.900000
490,6181150,0.900000
491,6181300,0.900000
492,6185500,0.900000
493,6190300,0.900000
494,6192900,0.900000
495,6193000,0.900000
496,6193650,0.900000
497,6195300,0.900000
498,6197250,0.900000
499,6197450,0.900000
500,6188200,0.900000
501,6174100,0.890000
502,6176100,0.890000
503,6174600,0.890000
504,6175950,0.890000
505,6174250,0.889366
506,6176050,0.888971
507,6174200,0.888909
508,6173700,0.888842
509,6173750,0.888600
510,6173950,0.888594
511,6175150,0.888214
512,6173800,0.886892
513,6174300,0.886759
514,6175050,0.885685
515,6174550,0.884355
516,6176000,0.879428
517,6173900,0.790000
518,6174050,0.789392
519,6175850,0.788255
520,6175900,0.787327
521,6175750,0.785298
522,6173850,0.777470
523,6188150,0.729394
524,6175600,0.688034
525,6175650,0.687800
526,6175700,0.686609
527,6185750,0.490000
528,6187450,0.488818
529,6194750,0.010000
530,6194800,0.010000
