Store_Number,((sum(CASE,WHEN,((On_Promo,=,1)),THEN,(Qty_Sold),ELSE,0,END),*,1.0),/,sum(Qty_Sold)),sum(CASE,WHEN,((On_Promo,=,1)),THEN,(Qty_Sold),ELSE,0,END),sum(Qty_Sold)
0,2860,0.034158,250.0,7319.0
1,3190,0.031972,360.0,11260.0
2,770,0.030119,312.0,10359.0
3,1980,0.026000,223.0,8577.0
4,1540,0.024591,299.0,12159.0
5,2640,0.023646,290.0,12264.0
6,2090,0.022339,230.0,10296.0
7,990,0.022317,252.0,11292.0
8,3520,0.020542,144.0,7010.0
9,4180,0.020420,173.0,8472.0
10,4070,0.019401,235.0,12113.0
11,3740,0.019384,212.0,10937.0
12,2420,0.018709,284.0,15180.0
13,2530,0.017813,179.0,10049.0
14,4730,0.015883,122.0,7681.0
15,1100,0.015381,243.0,15799.0
16,2310,0.015083,186.0,12332.0
17,3630,0.014586,206.0,14123.0
18,3080,0.014562,195.0,13391.0
19,2200,0.014395,141.0,9795.0
20,1870,0.013401,150.0,11193.0
21,2750,0.013273,184.0,13863.0
22,4840,0.012128,142.0,11708.0
23,1320,0.012087,235.0,19443.0
24,330,0.011786,140.0,11879.0
