Store_Number,Total_Sales
1100 497509.528013
3190 335035.018792
3300 619660.167018
550 229727.498752
880 420302.088397
1650 580443.007953
4180 272208.118542
2640 308990.318559
1540 427777.427815
4840 389056.668316
3080 495458.238811
1320 592832.067579
4730 239711.708869
4070 322307.968330
2090 309996.247965
2200 361173.288199
3630 405034.547846
2310 412579.388504
1870 401070.997685
1210 508393.767785
330 370503.687331
2750 453664.808068
1760 350747.617798
1980 242290.828499
990 378433.018639
3410 410567.848126
2420 406715.767402
770 292968.918642
660 343594.978075
3520 145701.079372
2860 132320.519487
2970 836341.327191
3740 359729.808228
2530 324046.518720
4400,95745.620250
